BASE;PRODCOD;CODLINHA;LINHA;DEPOSITO;PRODUTOREF;UNIT;MATERIAL;DISPONIVEL;CUSTOMEDIO;VALOR_DISP;DTSNAPSHOT;SEMANA
SBOEQUILIBRIUM;0061275;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR GOLD FPS 60 1/3 UVA FACIAL TON 50ML;UN;Mercadoria para Revenda;24,0;6,240417;149,770008;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061275;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA FACIAL TON 50ML;UN;Mercadoria para Revenda;5136,0;6,128762;31477,321632;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061291;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA KIDS 125ML;UN;Mercadoria para Revenda;5130,0;6,528552;33491,47176;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061317;48;SOLAR GOLD;EQ01 - Mercadoria própria;POS SOL GEL HIDR REFRESCANTE SOLAR GOLD 120G;UN;Mercadoria para Revenda;1212,0;1,413746;1713,460152;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061333;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA 125ML;UN;Mercadoria para Revenda;1680,0;4,456875;7487,55;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061341;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA 200ML;UN;Mercadoria para Revenda;9924,0;5,591817;55493,191908;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061358;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA C/ REP 125ML;UN;Mercadoria para Revenda;2352,0;4,110255;9667,31976;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061366;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA 125ML;UN;Mercadoria para Revenda;4531,0;6,005526;27211,038306;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061374;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA 200ML;UN;Mercadoria para Revenda;4788,0;9,65967;46250,49996;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061382;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR GOLD FPS 30 1/3 UVA KIDS 125ML;UN;Mercadoria para Revenda;12,0;4,084167;49,010004;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061382;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 30 1/3 UVA KIDS 125ML;UN;Mercadoria para Revenda;2964,0;4,084558;12106,629912;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061473;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;HIDR CORPORAL NO+VELLO 500ML;UN;Mercadoria para Revenda;633,0;3,558863;2252,760279;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061499;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;HIDR CORPORAL NO+VELLO 50ML;UN;Mercadoria para Revenda;1658,0;1,076176;1784,2998079999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061523;48;SOLAR GOLD;EQ01 - Mercadoria própria;AMOSTRA PROT SOLAR GOLD FPS 30 1/3 UVA 5ML;UN;Outras;10616,0;0,796872;8459,593151999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061598;42;NUTRIEX PROF. EPI;DP-94 - Divergencia de inventario Equilibrium;AMOSTRA PROT SOLAR FPS 30 1/3 UVA 5ML NUTRIEX;UN;Outras;43,0;0,746977;32,120011;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061598;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;AMOSTRA PROT SOLAR FPS 30 1/3 UVA 5ML NUTRIEX;UN;Outras;15551,0;0,7468829999999999;11614,777533;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061838;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;REP INSETOS ATE 10 H PROF SPRAY 100ML NUTRIEX;UN;Mercadoria para Revenda;52,0;1,132885;58,91002;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061903;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 120ML SUNDAY;UN;Mercadoria para Revenda;1307,0;3,322096;4341,979472;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061903;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA 120ML SUNDAY;UN;Mercadoria para Revenda;552,0;3,748714;2069,290128;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061911;52;SUNDAY;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR FPS 30 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;78,0;3,741795;291,86001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061911;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;17,0;5,063529;86,079993;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061911;52;SUNDAY;EQ03 - Merc. de terceiros - A7 (Armazenagem);PROT SOLAR FPS 30 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;480,0;3,587833;1722,1598399999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061911;52;SUNDAY;EQ04 - Merc. de terceiros - DL (Armazenagem);PROT SOLAR FPS 30 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;9,0;5,55;49,95;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061911;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;159,0;4,204465;668,5099349999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061945;48;SOLAR GOLD;EQ01 - Mercadoria própria;KIT REP INSETOS ATE 10 H EXPERT TOTAL SPRAY 200ML + PROT SOLAR GOLD FPS 30 1/3 UVA REP 125ML;UN;Mercadoria para Revenda;30,0;7,915;237,45;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061960;48;SOLAR GOLD;EQ01 - Mercadoria própria;KIT PROT SOLAR GOLD FPS 30 200ML + PROT SOLAR GOLD FPS 30 FACIAL 50ML;UN;Mercadoria para Revenda;1164,0;11,00695;12812,0898;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061978;48;SOLAR GOLD;EQ01 - Mercadoria própria;KIT PROT SOLAR GOLD FPS 60 200ML + PROT SOLAR GOLD FPS 60 FACIAL 50ML;UN;Mercadoria para Revenda;12,0;15,5325;186,39;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0061994;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 1L SUNDAY;UN;Mercadoria para Revenda;579,0;24,839447;14382,039813;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062000;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 2L SUNDAY;UN;Mercadoria para Revenda;780,0;44,874962;35002,47036;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062018;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 4L SUNDAY;UN;Mercadoria para Revenda;139,0;79,098849;10994,740011;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062026;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 1L SUNDAY;UN;Mercadoria para Revenda;865,0;41,392809;35804,779785;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062026;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA 1L SUNDAY;UN;Mercadoria para Revenda;4,0;43,7925;175,17;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062034;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 2L SUNDAY;UN;Mercadoria para Revenda;451,0;74,409845;33558,840095;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062034;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA 2L SUNDAY;UN;Mercadoria para Revenda;4,0;77,33499999999998;309,34;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062042;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 4L SUNDAY;UN;Mercadoria para Revenda;223,0;152,061166;33909,640018;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062059;52;SUNDAY;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR FPS 60 1/3 UVA 120ML SUNDAY;UN;Mercadoria para Revenda;24,0;4,205417;100,930008;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062059;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA 120ML SUNDAY;UN;Mercadoria para Revenda;79,0;6,386835;504,559965;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062067;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;3840,0;8,132875;31230,24;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062067;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 60 1/3 UVA 200ML SUNDAY;UN;Mercadoria para Revenda;85,0;9,025176;767,1399599999999;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062075;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA KIDS 120 ML SUNDAY;UN;Mercadoria para Revenda;4560,0;4,564546;20814,32976;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062075;52;SUNDAY;EQ11 - Mercadoria própria - F01;PROT SOLAR FPS 30 1/3 UVA KIDS 120 ML SUNDAY;UN;Mercadoria para Revenda;5,0;5,166;25,83;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062083;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;UREADERME 10% LOCAO REHID ESSENCIAL NUTRIEX 120ML;UN;Mercadoria para Revenda;108,0;1,9741669999999998;213,21003599999997;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062083;48;SOLAR GOLD;EQ01 - Mercadoria própria;UREADERME 10% LOCAO REHID ESSENCIAL NUTRIEX 120ML;UN;Mercadoria para Revenda;4665,0;2,128217;9928,132305;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062083;48;SOLAR GOLD;EQ11 - Mercadoria própria - F01;UREADERME 10% LOCAO REHID ESSENCIAL NUTRIEX 120ML;UN;Mercadoria para Revenda;12,0;2,390833;28,689996;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062117;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;CR PROT PELE LUVA QUIMICA GR 2 FR 200G NUTRIEX;UN;Mercadoria para Revenda;31,0;2,867742;88,900002;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062125;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;CR PROT PELE LUVA QUIMICA GR 3 FR 120G NUTRIEX;UN;Mercadoria para Revenda;12,0;1,969167;23,630004;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062133;42;NUTRIEX PROF. EPI;DP-94 - Divergencia de inventario Equilibrium;CR PROT PELE LUVA QUIMICA GR 3 FR 200G NUTRIEX;UN;Mercadoria para Revenda;60,0;2,606167;156,37002;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062133;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;CR PROT PELE LUVA QUIMICA GR 3 FR 200G NUTRIEX;UN;Mercadoria para Revenda;2128,0;2,882185;6133,289680000001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062141;42;NUTRIEX PROF. EPI;DP-94 - Divergencia de inventario Equilibrium;CR DESENGRAXANTE C/ ESFOLIANTE 200G NUTRIEX;UN;Mercadoria para Revenda;36,0;1,473056;53,030016;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062141;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;CR DESENGRAXANTE C/ ESFOLIANTE 200G NUTRIEX;UN;Mercadoria para Revenda;168,0;1,490536;250,410048;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062141;42;NUTRIEX PROF. EPI;EQ11 - Mercadoria própria - F01;CR DESENGRAXANTE C/ ESFOLIANTE 200G NUTRIEX;UN;Mercadoria para Revenda;42,0;1,674762;70,34000400000001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062174;52;SUNDAY;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA KIDS 120ML SUNDAY;UN;Mercadoria para Revenda;852,0;4,753862;4050,290424;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062182;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;LOCAO POS-SOL DERMDRYL 100ML TEUTO;UN;Mercadoria para Revenda;6254,0;1,42377;8904,257579999998;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062216;48;SOLAR GOLD;EQ01 - Mercadoria própria;LEAVE-IN PROT TERMICO SOLAR GOLD 100ML;UN;Mercadoria para Revenda;364,0;4,161813;1514,8999320000007;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062232;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;CR ULTRA HIDR REGEDERME G3 200G NUTRIEX;UN;Mercadoria para Revenda;24,0;1,624167;38,980008;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062620;48;SOLAR GOLD;EQ01 - Mercadoria própria;REP INSETOS ATE 4 HRS SAI! INSETO FAMILY KIDS LOCAO HIDRAT 200ML;UN;Mercadoria para Revenda;19267,0;2,40855;46405,53285;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062620;48;SOLAR GOLD;EQ04 - Merc. de terceiros - DL (Armazenagem);REP INSETOS ATE 4 HRS SAI! INSETO FAMILY KIDS LOCAO HIDRAT 200ML;UN;Mercadoria para Revenda;1104,0;1,7666669999999998;1950,400368;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062638;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;REP INSETOS ATE 4 HRS SAI! INSETO FAMILY KIDS LOCAO HIDRAT 100ML;UN;Mercadoria para Revenda;120,0;1,622833;194,73996;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062638;48;SOLAR GOLD;EQ01 - Mercadoria própria;REP INSETOS ATE 4 HRS SAI! INSETO FAMILY KIDS LOCAO HIDRAT 100ML;UN;Mercadoria para Revenda;228,0;1,624912;370,479936;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062646;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;REP INSETOS ATE 4H SPRAY 100ML NUTRIEX;UN;Mercadoria para Revenda;6927,0;1,46235;10129,69845;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062703;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR FPS 30 1/3 UVA 120ML WORKER;UN;Mercadoria para Revenda;36,0;3,958333;142,499988;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062729;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;REP INSETOS ATE 5H SPRAY 100ML ISABABY;UN;Mercadoria para Revenda;5832,0;4,569537;26649,539784000004;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062737;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;LOC HIDR ULTRAUREA 115G/120ML BEKER;UN;Mercadoria para Revenda;5268,0;2,075621;10934,371428;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062745;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;GEL CORPORAL ARNICA EX FORTE ARNIDOR 200G BEKER;UN;Mercadoria para Revenda;3576,0;1,878982;6719,239632;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062752;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;SCARPROTECT LOC OLEOSA 100ML BEKER;UN;Mercadoria para Revenda;11400,0;0,870828;9927,4392;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062794;48;SOLAR GOLD;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR GOLD FPS 60 1/3 UVA C/REP 125ML;UN;Mercadoria para Revenda;12,0;5,101667;61,220004;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062794;48;SOLAR GOLD;EQ01 - Mercadoria própria;PROT SOLAR GOLD FPS 60 1/3 UVA C/REP 125ML;UN;Mercadoria para Revenda;1740,0;5,101931;8877,35994;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062802;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA C/ REP 120ML NUTRIEX;UN;Mercadoria para Revenda;2950,0;5,697949;16808,94955;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062836;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA C/ REP 1 L NUTRIEX;UN;Mercadoria para Revenda;136,0;40,758162;5543,110032;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062844;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA C/ REP 2 L NUTRIEX;UN;Mercadoria para Revenda;538,0;83,393922;44865,93003600001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062851;42;NUTRIEX PROF. EPI;EQ01 - Mercadoria própria;PROT SOLAR FPS 60 1/3 UVA C/ REP 4 L NUTRIEX;UN;Mercadoria para Revenda;204,0;158,815343;32398,329972000003;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062877;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR CORPORAL FPS 30 SVEDA SOLAR 125ML;UN;Mercadoria para Revenda;12789,0;3,678609;47045,730501;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062885;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR CORPORAL FPS 30 SVEDA SOLAR 200ML;UN;Mercadoria para Revenda;6720,0;5,205234;34979,17248;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062893;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR CORPORAL FPS 60 SVEDA SOLAR 125ML;UN;Mercadoria para Revenda;2952,0;6,256528;18469,270656;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062901;49;TERCEIRIZACAO;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR CORPORAL FPS 60 SVEDA SOLAR 200ML;UN;Mercadoria para Revenda;36,0;8,028055999999998;289,01001599999995;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062901;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR CORPORAL FPS 60 SVEDA SOLAR 200ML;UN;Mercadoria para Revenda;6564,0;9,430306000000002;61900,52858400001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062919;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR KIDS FPS 30 SVEDA SOLAR 125ML;UN;Mercadoria para Revenda;6648,0;3,81319;25350,08712;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062927;49;TERCEIRIZACAO;DP-94 - Divergencia de inventario Equilibrium;PROT SOLAR KIDS FPS 60 SVEDA SOLAR 125ML;UN;Mercadoria para Revenda;3,0;6,006667;18,020001;2020-12-31 07:00:03.240;53
SBOEQUILIBRIUM;0062927;49;TERCEIRIZACAO;EQ01 - Mercadoria própria;PROT SOLAR KIDS FPS 60 SVEDA SOLAR 125ML;UN;Mercadoria para Revenda;4428,0;6,492428;28748,471184;2020-12-31 07:00:03.240;53
